s,inc_-2.0,inc_-1.8,inc_-1.6,inc_-1.4,inc_-1.2,inc_-1.0,inc_-0.8,inc_-0.6,inc_-0.4,inc_-0.2,inc_-0.0,inc_+0.2,inc_+0.4,inc_+0.6,inc_+0.8,inc_+1.0,inc_+1.2,inc_+1.4,inc_+1.6,inc_+1.8,inc_+2.0
0.40657508337171333,0.2669575595580511,0.2611559937947559,0.26150371437404724,0.26371009437075904,0.2618358629339718,0.26243328536677907,0.26428398383648033,0.2593419637199006,0.2625576959320771,0.2645128675646795,0.264440447143552,0.26460431793856415,0.26487099085090465,0.2621041411653944,0.26505692336578623,0.26578935752900884,0.2665708243614096,0.26193672204918433,0.2655780606928165,0.2652984626447544,0.2603209805818585
0.4032209817334741,0.26791291236153764,0.2610780828382282,0.26156201072489665,0.26348141835016003,0.26148783107463125,0.2619568166060601,0.26384121379688974,0.2587531092768118,0.2616204706353833,0.2637321440128072,0.26357890530196276,0.26370587081956876,0.26391155324370585,0.2611133668979768,0.2640393795166616,0.2647405687753018,0.2654980042844255,0.2608933425710549,0.2644726645759158,0.2641819556068158,0.2591685787622546
0.39986688095350426,0.26908040311489057,0.2612539369111239,0.2618525391539881,0.2633615628860448,0.26130765010514545,0.2616263450103687,0.2635402357918298,0.25828761371182646,0.2607698457061832,0.26305517367800535,0.2628084231098249,0.26288927609602825,0.2630237620570764,0.26018915222317046,0.263086726126471,0.2637489832147368,0.2644777777008356,0.2599022515052417,0.2634182735766356,0.2631133788034873,0.2580619545733245
0.39651278050764566,0.2704402582502321,0.2617123003467887,0.2623807938872172,0.2633722996914982,0.26130523007444295,0.2614503059003781,0.2633879938807788,0.25795272040450645,0.2600158192088299,0.26248957702109993,0.2621361624360851,0.2621605170956784,0.26221336725276934,0.2593365732152601,0.26220436558382254,0.26281933996496015,0.26351457875531636,0.25896667795359873,0.26241914554878704,0.262096651432024,0.25700514959497145
0.3931586801744734,0.27196188913659186,0.2624560648914441,0.2631552013643494,0.26349748681963614,0.26148787573106014,0.26143869730490626,0.2633894192354648,0.2577545610381301,0.25936865351643434,0.2620436387239291,0.2615705736030652,0.2615273160479275,0.261488452479512,0.25856344606341,0.2614007117770806,0.2619598097278632,0.2626165464701928,0.25809356783145876,0.261483658299962,0.26114012216622723,0.25600702497108385
0.3898045795163865,0.2736072817987813,0.2635015760205806,0.2641712083523556,0.26371634974071173,0.2618553756182128,0.2615907222180525,0.26354015459191393,0.2576900911862386,0.25883165361173566,0.26171491535431446,0.26110941605059224,0.2609858558118881,0.26084534386682917,0.2578650991150386,0.26067145529546387,0.26116557033543436,0.2617784796972802,0.2572760383412697,0.2606061288684157,0.2602376582918968,0.25506138178604165
0.3864504793829313,0.2753352427969769,0.26483942940334615,0.2654110529292897,0.2640425477283364,0.2624056453760182,0.26190490960529067,0.26383970593237,0.25776100528879786,0.2584159828759836,0.26150738184457706,0.2607559318349691,0.2605396635937553,0.26028796758424877,0.2572452256069923,0.2600205738305578,0.26044061212794073,0.2610041773079024,0.2565163028398406,0.259790130781188,0.25939262351357023,0.2541718927157549
0.38309637949297015,0.27709849088820626,0.2664653368555542,0.26685780982278867,0.26448268062082386,0.2631330774605173,0.26238274666102457,0.26428339716575544,0.2579644119794996,0.2581294924735087,0.26142257096963056,0.26051348544061653,0.2601909079382715,0.2598201548769603,0.25670668066989577,0.25945174436893337,0.2597884729765288,0.2602971019686757,0.25581626558373965,0.2590389826368409,0.2586082683222889,0.25334225474467326
0.3797422792279363,0.27884934903539876,0.2683633086363435,0.26848847473880927,0.26504239448266764,0.2640263261727645,0.26301531403662193,0.2648616162355758,0.25829432724177187,0.2579758260650578,0.2614567692811839,0.2603801960612382,0.2599359062320328,0.2594394035289974,0.2562465949468113,0.25896132782282283,0.25920689616316134,0.2596547160012372,0.2551716673080736,0.25834969891762943,0.25788126604743,0.2525693349449184
0.37638817967238203,0.28054173031498797,0.2705025112146593,0.2702695901029423,0.2657076452598631,0.2650725482363059,0.2637966503490122,0.26556557348977783,0.25874624204815094,0.25796285481246106,0.26160965210324466,0.2603565808425688,0.25977730635928015,0.2591485881945149,0.2558681840319285,0.2585532182579581,0.25870031745640687,0.25908143937428685,0.2545855160532904,0.2577261387999205,0.25721588358931224,0.25185795920276216
0.37303408039502306,0.28213331379020967,0.27284236750822927,0.2721615514090355,0.26648421367489383,0.2662507362847941,0.26471113210512287,0.26638037162280737,0.2593098118452978,0.25809285996720704,0.2618744992373182,0.2604375694982284,0.2597107565259329,0.2589456405042714,0.25556883072981607,0.25822621817686947,0.25826708064975634,0.25857552011770096,0.25405465053037063,0.2571666253044671,0.25660986381084266,0.25120627561907755
0.36967998139888114,0.2835907942492881,0.2753329469892938,0.27412073372867063,0.2673728501923675,0.26753916233177716,0.26574389054620967,0.2672918086843722,0.2599746873927875,0.2583650146703985,0.26224663436066104,0.260620849762431,0.2597353811784567,0.2588320714171847,0.25535081843199275,0.25797983273530617,0.25791017752545653,0.2581400755485891,0.25358117474431197,0.2566732455160377,0.2560662475657034,0.2506179076887148
0.36632588253538734,0.2848905356083595,0.2779150416767964,0.27609933349836097,0.2683769197811458,0.2689102090040845,0.2668738373796779,0.2682808104870943,0.26072617981100027,0.2587760641363546,0.2627151106114185,0.2608990493953768,0.2598441312749273,0.25880288195269857,0.2552093430344735,0.25780895372052526,0.2576257145607474,0.25777116530924893,0.2531601983402985,0.2562421793420792,0.2555804570923579,0.25008866320528383
0.3629717840126944,0.2860197730405404,0.2805210987988215,0.27804889119569176,0.26949935794438395,0.2703363009540872,0.26808061464643135,0.26933017349776706,0.26155198008787794,0.25932502213073355,0.263272826906664,0.2612684615953006,0.2600360712689811,0.25885908975531335,0.2551461670235844,0.25771690224027516,0.2574183711533044,0.2574740348332018,0.2527967878750729,0.25587831589684307,0.2551583599110194,0.24962528990280156
0.35961768576708,0.2869784489051247,0.283081363735259,0.27992214013811095,0.270738688124196,0.27178622994845186,0.26933890215891143,0.27041870272044627,0.26243468036229095,0.260003080739572,0.2639054995107349,0.2617180568765534,0.26030224569646226,0.2589939120536035,0.25515529821745825,0.257696823933455,0.2572831910625609,0.2572439908791733,0.25248614122722524,0.25557616595457755,0.25479497091719905,0.24922258643709785
0.3562635867782317,0.2877764398488004,0.28552413423422457,0.2816780937983469,0.2720923382269229,0.2732313541022037,0.2706249258575769,0.2715277295287227,0.26335922059943045,0.26080162236532284,0.26460095229704067,0.2622388568100057,0.26063657647675587,0.25920331515206385,0.2552335381141984,0.2577453373358059,0.2572186479353865,0.2570800283654652,0.2522276650997578,0.2553344390275993,0.25448936406696643,0.2488798586879063
0.35290948855980986,0.2884295055966061,0.2877819447522091,0.2832795826441589,0.2735472877938195,0.2746423738017355,0.27191390024153084,0.272638310648901,0.2643101860517793,0.26170946790520894,0.26534669334296573,0.2628221236225841,0.2610339241163094,0.2594847452210396,0.2553800428918175,0.25786118038033823,0.25722589407938706,0.2569844300288794,0.25202491018465467,0.2551555372069591,0.2542450409324539,0.2486021173921236
0.3495553904306648,0.2889620174980347,0.2897894111441191,0.28470279882162675,0.2750905204693029,0.27599490883064465,0.27318155214720957,0.2737322019583757,0.2652710245255259,0.2627094900377536,0.2661264235774032,0.2634539397813506,0.261483422733633,0.2598286508633076,0.25558617247451954,0.25803508110178264,0.2572972053869064,0.2569501747517216,0.251872030776661,0.2550318746707462,0.25405494105162435,0.24838211288416542
0.3462012923982147,0.28939757982503644,0.29149108232189985,0.28593058971197166,0.2766857357124253,0.27726702775731765,0.27440824160819755,0.274794654610088,0.266229156091268,0.263785148052961,0.26692817686180226,0.2641252731353028,0.2619797081103446,0.26023157012484416,0.2558503047362525,0.25826508471535264,0.2574324972496406,0.2569786185204045,0.25177251971261216,0.25496499349976315,0.2539218389037534,0.24822335529768805
0.3428471951635453,0.2897593773454484,0.29286734638069944,0.2869571276473245,0.2783012265575713,0.2784418223592476,0.2755730819603458,0.2758111733232501,0.26717089189945176,0.2649169335460597,0.267737094805925,0.2648231512112373,0.2625133507209213,0.260684839814374,0.2561652570515405,0.2585435911375658,0.25762549534337664,0.25706491924191677,0.2517238439488839,0.25495012532290984,0.2538419790038393,0.2481222711300726
0.3394930979196212,0.2900691910340754,0.2939078683341461,0.2877934575186326,0.27989925429718143,0.27951334627576413,0.27666358385063505,0.2767720645143422,0.26808637205427244,0.26607992376144995,0.2685416778855806,0.26553726195177285,0.2630766977653812,0.2611815833867505,0.25652562285039904,0.2588649321293291,0.25787116683550787,0.25720549056983144,0.25172495930666583,0.25498366819498625,0.2538127984292795,0.24807639071543028
0.33613900097029903,0.2903427481685706,0.2946207350329736,0.28845596943327023,0.2814305799351185,0.28047644353134776,0.2776708588723591,0.27766842956101023,0.2689668787356146,0.2672529058782779,0.2693304400752293,0.2662567129174246,0.26366265234379344,0.2617137574104599,0.2569249593950058,0.2592223849695658,0.25816336124264794,0.2573959276058251,0.2517743080925901,0.25506177195823543,0.25383134995013384,0.24808284022327695
