s,TI_1.0,TI_1.5,TI_2.0,TI_2.5,TI_3.0,TI_3.5,TI_4.0,TI_4.5,TI_5.0
0.35961768576708003,0.25651314021035104,0.2592902125027731,0.2595238051846672,0.2590257898560704,0.25851181465768197,0.2595549901904078,0.25963084580804263,0.26023005401106925,0.2590958739612683
0.35626358677823183,0.25679110289119805,0.2596268202727987,0.2599639641429438,0.2596297671441552,0.2590804546478144,0.2599699106077161,0.2600706444667623,0.2606546235144186,0.2596091991048004
0.35290948855980997,0.2571524833201782,0.2600234472641993,0.26045685047948514,0.2602982101120947,0.2597088189683272,0.2604378766354725,0.2605646457113165,0.26113342469507345,0.26018476918990696
0.3495553904306649,0.2575911129721405,0.26047266835330884,0.2609899355109397,0.26101319392762523,0.2603800298336924,0.2609477833183048,0.26110026373538286,0.26165484359936225,0.26081060190648647
0.3462012923982148,0.25810514097998455,0.2609722337579339,0.2615561680633963,0.2617616539765131,0.2610823755571684,0.26149409776796356,0.2616704762252124,0.26221270139560143,0.2614807295697175
0.3428471951635454,0.2586867205985353,0.2615162722113939,0.26214586358383246,0.26252608816853995,0.2617999788832956,0.262068592334851,0.2622653590165016,0.26279811981939294,0.26218514048837627
0.3394930979196213,0.25932963166227363,0.26210048412076153,0.2627512370462413,0.2632924370023749,0.26252059004256256,0.26266489871493226,0.2628771474901474,0.2634040093530774,0.2629172063620285
0.3361390009702991,0.26002260555000073,0.2627199730107307,0.26336769468308846,0.26404609928344297,0.2632319228739306,0.26327924001299147,0.2635009239261561,0.26402610388950426,0.2636681932973126
0.33278490448833076,0.26075751934312996,0.26337163550474535,0.2639906326492255,0.2647765932553664,0.2639252587868477,0.26390784845592624,0.2641318106479014,0.2646600345815309,0.26443244139697486
0.32943080794794544,0.26151956024643175,0.2640450066301396,0.26461359732413214,0.26547410848275466,0.2645921660243625,0.26454394984682833,0.26476363615229614,0.26529894329979997,0.26520011958649514
0.3260767117312099,0.2622984226364945,0.2647358632078319,0.2652349922816795,0.26613414002576163,0.26522940548292634,0.2651856212586838,0.2653945549965031,0.26594072247393635,0.2659652959122704
0.3227226151731297,0.2630831172264105,0.265435402329289,0.2658490310585401,0.26675299473369013,0.26583393502989355,0.26582649366016287,0.2660191912245613,0.2665788732890306,0.266720484735548
0.3193685192055893,0.26386190489725514,0.26613579257365955,0.2664538071021621,0.26732856729948545,0.26640471910912844,0.2664636708164911,0.26663614751570264,0.26721061354702264,0.26745826038717685
0.3160144232822327,0.2646252339080875,0.26683073674726276,0.2670475413441289,0.26786388335293204,0.2669437319236528,0.267093602930412,0.2672427755685947,0.2678328155486554,0.2681714754850694
0.3126603276822113,0.265364518722502,0.2675134993137841,0.26762853561901856,0.26835888992086576,0.2674516532444962,0.26771344123705587,0.26783785122970105,0.2684427980671515,0.268853600986439
0.30930623194733264,0.2660723085124204,0.26817808181554287,0.2681954388198059,0.2688201649979257,0.26793411898866903,0.2683198064796071,0.2684197767753351,0.26903758933107047,0.2694989375939045
0.30595213637869645,0.26674387653244636,0.26881910733736736,0.26874564299759846,0.26925067729110247,0.2683935128374404,0.26890902449632514,0.2689860468687013,0.26961383928368876,0.27010227733190195
0.3025980409066374,0.2673720396410867,0.2694287572011166,0.26927704582762924,0.2696573141177185,0.26883445783620963,0.26947660560410275,0.2695342039362186,0.27016788917569146,0.27065928542529927
0.2992439450074987,0.2679537634909589,0.27000252439237477,0.2697872199225248,0.27004644385661786,0.2692613896469746,0.27001847563288434,0.2700612418467947,0.2706962205758565,0.2711668851857251
0.29588984933213325,0.2684910609988162,0.2705396250224607,0.2702756553484773,0.27041945165523784,0.2696754804051986,0.27053403939635434,0.2705667686740956,0.2711982924162184,0.27162515596067166
0.2925357534628966,0.2689835671763942,0.27103674579954423,0.27073974411458956,0.27078096921913813,0.2700795316483137,0.27101962851430306,0.2710476719414538,0.2716708886538376,0.27203402047545133
0.2891816576717834,0.2694334460853876,0.27149305869935886,0.27117785044491494,0.27113252583374414,0.27047383109131323,0.27147353941549585,0.2715020129955713,0.2721125607710662,0.2723957485459707
0.285827562000987,0.26984391496151466,0.2719092279582259,0.2715893833738707,0.27147611881024286,0.2708591869785755,0.2718951223839591,0.27192881634576943,0.2725229192876856,0.2727142222911531
0.2824734661235602,0.2702182596008081,0.2722858259602923,0.27197246603676817,0.27181157699805764,0.27123468116531924,0.27228304426579764,0.2723259584727431,0.2729007739833792,0.2729939274005285
0.27911937115681423,0.2705587223019264,0.27262459929662114,0.2723310188488369,0.2721377251333392,0.27159891992228274,0.2726414450803067,0.27269662278488893,0.27325028724146777,0.2732399683639425
0.27576527544429114,0.27087258828436495,0.27292967896852777,0.2726589582176887,0.2724561519293247,0.27195183257578875,0.2729656094065903,0.27303563944413795,0.27356686287393556,0.27345916316993274
0.27241118024342703,0.271161946961726,0.2732034331710478,0.27296088335065277,0.27276493498533877,0.2722920871996086,0.273260688378215,0.27334721924876965,0.27385556664323735,0.27365622163116426
0.2690570851647752,0.2714304014017897,0.27345004124733396,0.2732388742196776,0.2730617588880458,0.2726170876335817,0.2735298980159406,0.2736332541898851,0.27411956996572856,0.2738386239707725
0.265702990023865,0.27168146174991087,0.2736732422637446,0.27349225420161427,0.2733458218262304,0.2729258040464351,0.2737736757598654,0.27389327346469633,0.27435919618873883,0.2740113587070395
0.26234889455019605,0.2719180049499522,0.27387616370143486,0.273724937008723,0.27361782421697695,0.27321965479901406,0.2739963429250087,0.2741314231155071,0.2745785274343823,0.27417745275063776
0.25899479899870476,0.27214224202483944,0.27406197653574726,0.27393809198482844,0.27387639228992583,0.27349722444338465,0.27419989730443917,0.2743490040961068,0.2747794997200764,0.27434092788536435
0.25564070309347775,0.2723566778908764,0.27423442514205665,0.2741348066893724,0.2741217892306532,0.27375916716985094,0.27438789554967025,0.2745493425551773,0.2749655285018855,0.274504615752818
0.25228660757140403,0.2725626004966676,0.2743959765434331,0.2743168817238104,0.27435360029351674,0.27400546904905093,0.27456257779812515,0.2747345309842682,0.2751387304162032,0.27466993098875714
0.24893251206479036,0.27276177981041827,0.2745496671539593,0.2744871203060482,0.27457269019408737,0.2742373527627847,0.2747269822945794,0.2749076011530155,0.2753020261051891,0.274838216578682
0.24557841608052125,0.27295533277018125,0.27469773356048327,0.2746477458089963,0.2747798289339367,0.27445596311197074,0.2748834109753325,0.27507093392717863,0.2754575899877354,0.2750099122518619
0.24222432044069225,0.27314402981324476,0.27484196028543595,0.2748007200987367,0.2749759130118805,0.27466251631367694,0.27503378458652245,0.27522661925911346,0.2756072203570165,0.27518484759783923
0.23887022480866765,0.2733288996232974,0.2749842567773647,0.27494826592191407,0.2751624589448714,0.274858819073493,0.27518019266413757,0.2753769346865025,0.2757528805227881,0.2753629548109451
0.23551612847318204,0.27351036748513247,0.27512570199059694,0.27509185217748444,0.2753405477173903,0.2750462462707659,0.275323920234508,0.2755234007556314,0.2758957447555055,0.27554348734501516
0.2321620318730885,0.27368926261772,0.27526778474266866,0.2752334854793709,0.275511921846206,0.27522667580654714,0.27546667657277274,0.27566795107590547,0.27603744551568293,0.27572610102472817
0.22880793546362913,0.27386637479535775,0.2754113135779116,0.2753739651635481,0.27567806742506207,0.2754019166923231,0.27560914666887026,0.275811432839512,0.2761785506190893,0.27591035371768435
