s,inc_-2.0,inc_+0.0,inc_+2.0
0.23551690239225817,0.2087229640094733,0.21200811019201493,0.21517781928052518
0.23216285156365424,0.20873685125654762,0.21209155213250028,0.21532174726834988
0.22880880214528118,0.2087721441560239,0.21219096945475577,0.21549025615981554
0.22545475302759355,0.2088275186028343,0.21231839023375773,0.21568321951421537
0.2221007032854385,0.20890234937918234,0.21246370098845235,0.21589771480478748
0.21874665366355694,0.20899233855361476,0.2126264935715824,0.21613247668627095
0.21539260370558053,0.2090935037752627,0.2128036001433865,0.2163815606864694
0.21203855386948892,0.20920509309711166,0.21299355609083823,0.2166466480430867
0.2086845039196199,0.2093295039608159,0.21319770670302468,0.21692943009888419
0.205330453840706,0.20946837678085536,0.2134209426866416,0.21723181431590874
0.20197640395951139,0.20962460110996634,0.21366230904424574,0.21755598460783282
0.1986223535252572,0.2097959588722843,0.21392281373360367,0.21790081425443397
0.19526830370605247,0.20998105222116273,0.21419889513396997,0.21826433465165315
0.19191425332422604,0.21017103492769804,0.21448363361140776,0.21863940517784902
0.1885602024270157,0.21036956498955967,0.21477885205505534,0.21903092817524225
0.18520615239761976,0.21059611389105998,0.21510621897742552,0.2194536091523535
0.1818521018873188,0.21083928442038377,0.21545397413913966,0.21990184116674427
0.1784980510146115,0.21108912894592322,0.21581188341594754,0.22036168989538973
0.17514400024640164,0.21133482466721662,0.216170637555134,0.2208272160130255
0.17178994770671,0.21157851296725702,0.2165321476870252,0.2213003723107616
0.1684358974730032,0.21186322667294333,0.21693935125200622,0.22182237933599033
0.165081847462052,0.21216869745088254,0.21737058432401288,0.22237128687143085
0.16172779499239864,0.21244079754853776,0.21777551453231206,0.22290079188913686
0.1583737435711613,0.21272012623216907,0.21819172121684344,0.22344596213022816
0.1550196925155424,0.2130214218019327,0.2186386873533743,0.2240271219316816
0.15166563950794226,0.21332793353994114,0.21909260931944918,0.2246220040765241
0.14831158816724668,0.2136260703232342,0.21955078106930592,0.2252247827631494
0.14495753556274688,0.21390371524540527,0.21998984343352598,0.22581956562106748
0.1416034833488699,0.21418499372692149,0.22044559632017177,0.22643471934694628
0.13824943375397045,0.21448607619524296,0.22092651033723334,0.22708461350537532
0.13489538039530002,0.21475472169141946,0.22138457843023776,0.2277189646813718
0.13154132645896785,0.21498926200024598,0.2218185433833544,0.22833858873861804
0.1281872732007712,0.2152167908259074,0.22225504748420238,0.22897218858445095
0.12483321900815975,0.21541951305582765,0.22267954660171782,0.22960189642680656
0.12147916460896818,0.21558910770673553,0.2230806866636376,0.2302227405883228
0.11812510997504658,0.21573657217672207,0.22347475847265175,0.2308445635026485
0.11477105521762718,0.21584212663105545,0.2238379200900646,0.2314527264868837
0.11141699961721178,0.21588277844873321,0.22415283411533182,0.23202277457338044
0.10806294434576433,0.21586661423095646,0.22442627509076374,0.23257102684217779
0.10470888866782273,0.21579985590708528,0.22466582639918242,0.23309815075288506
0.10135483212171033,0.21565254797972297,0.22484491812902835,0.23358652082914513
0.09800077607378185,0.2154341902292225,0.224971723507776,0.23403808026409492
0.09464671975497792,0.21512286479612427,0.22502707725160412,0.2344437328922015
0.09129266322824109,0.21469847504692316,0.22499511049875912,0.23478009950568113
0.08793860637001266,0.21414367440970797,0.22485576411885494,0.23503945418638528
0.08458454961394396,0.21345687873623118,0.22461683060891507,0.23522174500528656
0.08123049260184245,0.21262252222078937,0.2242581155153632,0.235318535226761
0.07787643561675127,0.21162076690522977,0.2237699854449727,0.23531762864854255
0.07452237850963828,0.2104095258090369,0.22310946545659036,0.23518070388039428
0.07116832169090223,0.20894531892136622,0.2222340984944319,0.23487115930432928
0.06781426477351223,0.20722448658112932,0.22116267388465638,0.23441022440151976
0.0644602075012175,0.20523419584912167,0.21985330197787836,0.23376382059291
0.06110615159301829,0.2028117161638348,0.21819909311966681,0.23282971514964218
0.05775209553746683,0.20004838679001136,0.2162434002105812,0.23166176277956232
0.054398040236816464,0.1967604783846815,0.21387087776216324,0.23014613876476414
0.05104398689759875,0.19291416744964493,0.2109891693829942,0.22822109215189765
0.047689933949432564,0.18839806251712918,0.20759628388985432,0.22586248723557226
0.0443358861178143,0.18308159259384366,0.20344327029578138,0.22288932566479955
0.04098184088694756,0.17673322705831637,0.198474324838963,0.21919891544548037
0.037627802185114585,0.16924391985580423,0.19244698967763021,0.21465752055196388
0.03427377320254567,0.16020952750808018,0.18508838762825278,0.20890790836752865
0.030919757739985485,0.1492530391491926,0.17601198057252607,0.20178081898026337
0.027565764664830145,0.13637256310594165,0.16507100250756965,0.1928592003498536
0.024211812540895248,0.1185398873655867,0.14992559463002353,0.18060479418737777
0.02085792434288317,0.10322478786019666,0.13593114787672753,0.16865257250813262
0.01750416028513208,0.056885655858442165,0.09743329183000496,0.13667719006657725
0.013266822899822901,0.055351576965591114,0.0768676909601608,0.11209187542424132
0.012382272157644883,,0.03887008780766637,0.09218919762531219
0.011497724911380259,0.0245760883996647,0.04349006505719284,0.0858351580078182
0.010613185026871402,0.01760814671557125,0.013497944794933107,0.06835995989250108
0.009728649810832338,0.04985799724046294,0.015602832127018648,0.0564362452545666
0.00884412273755904,0.06951564551333915,0.011537631175649857,0.03723088644118109
0.00795960572968996,0.09461483822424864,0.035731200139031596,0.01930195140973649
0.007075101211780789,0.12058053696933438,0.05754327645587276,
0.006190612492976929,0.14998258758395203,0.08382803587842766,0.017763256846237953
0.005306144351440654,0.18245821627261327,0.11274068470994078,0.045361924929691454
0.004421702165067438,0.21895701663758807,0.14550513852886135,0.07529765810794864
0.0035372914628747924,0.25945327517750233,0.1817790925939683,0.10788793788251834
0.0026529175664329907,0.30454343878056167,0.22209921796007198,0.14410904655998902
0.001768597063802909,0.35297879433216756,0.26526029973829174,0.1828832130135326
0.0008842788662753254,0.4084943086995657,0.3155060776530157,0.22903552410072725
0.0,0.45968993212705056,0.35999662274482586,0.2683407789813302
0.0,0.5891407739765578,0.4743664645056873,0.3719283651923218
0.0008837492984536739,0.6434894360088648,0.5225487843796941,0.4163938007391881
0.0017675829339045743,0.7043212405238126,0.5755499441117118,0.4646042979398474
0.002651454113911014,0.7506560088962717,0.6156169046477385,0.5016197186375784
