PS,,SS,
x [m],y [m],x [m],y [m]
0.01333366,0.00306233,0.01154084,0.00929418
0.01339130,0.00306464,0.01160604,0.00930499
0.01344896,0.00306678,0.01167129,0.00931554
0.01350662,0.00306873,0.01173657,0.00932582
0.01356429,0.00307051,0.01180190,0.00933583
0.01362196,0.00307210,0.01186727,0.00934558
0.01367964,0.00307351,0.01193268,0.00935505
0.01373732,0.00307474,0.01199813,0.00936426
0.01379500,0.00307580,0.01206361,0.00937320
0.01385269,0.00307666,0.01212913,0.00938187
0.01391038,0.00307735,0.01219469,0.00939026
0.01396807,0.00307786,0.01226028,0.00939839
0.01402577,0.00307818,0.01232590,0.00940624
0.01408346,0.00307832,0.01239156,0.00941382
0.01414115,0.00307828,0.01245724,0.00942113
0.01419885,0.00307806,0.01252296,0.00942817
0.01425654,0.00307765,0.01258870,0.00943493
0.01431423,0.00307706,0.01265448,0.00944141
0.01437192,0.00307629,0.01272028,0.00944762
0.01442961,0.00307534,0.01278610,0.00945356
0.01448729,0.00307420,0.01285195,0.00945922
0.01454497,0.00307288,0.01291782,0.00946460
0.01460264,0.00307138,0.01298371,0.00946971
0.01466031,0.00306969,0.01304963,0.00947453
0.01471798,0.00306782,0.01311556,0.00947909
0.01477564,0.00306577,0.01318152,0.00948336
0.01483329,0.00306353,0.01324749,0.00948736
0.01489093,0.00306112,0.01331347,0.00949107
0.01494857,0.00305852,0.01337948,0.00949451
0.01500619,0.00305573,0.01344549,0.00949767
0.01506381,0.00305276,0.01351152,0.00950055
0.01512142,0.00304961,0.01357756,0.00950315
0.01517902,0.00304628,0.01364361,0.00950547
0.01523660,0.00304277,0.01370967,0.00950751
0.01529418,0.00303907,0.01377574,0.00950926
0.01535174,0.00303519,0.01384182,0.00951074
0.01540929,0.00303113,0.01390790,0.00951194
0.01546683,0.00302688,0.01397398,0.00951285
0.01552436,0.00302246,0.01404007,0.00951349
0.01558187,0.00301785,0.01410616,0.00951384
0.01563936,0.00301306,0.01417225,0.00951391
0.01569684,0.00300809,0.01423834,0.00951370
0.01575430,0.00300293,0.01430443,0.00951320
0.01581175,0.00299760,0.01437052,0.00951243
0.01586918,0.00299208,0.01443660,0.00951137
0.01592659,0.00298638,0.01450268,0.00951003
0.01598399,0.00298050,0.01456875,0.00950841
0.01604136,0.00297444,0.01463482,0.00950650
0.01609872,0.00296820,0.01470087,0.00950432
0.01615605,0.00296178,0.01476692,0.00950185
0.01621337,0.00295518,0.01483295,0.00949910
0.01627066,0.00294840,0.01489897,0.00949607
0.01632794,0.00294143,0.01496498,0.00949275
0.01638519,0.00293429,0.01503098,0.00948915
0.01644241,0.00292697,0.01509695,0.00948527
0.01649962,0.00291946,0.01516291,0.00948111
0.01655680,0.00291178,0.01522886,0.00947667
0.01661396,0.00290392,0.01529478,0.00947195
0.01667109,0.00289588,0.01536068,0.00946694
0.01672819,0.00288766,0.01542656,0.00946166
0.01678527,0.00287927,0.01549242,0.00945609
0.01684233,0.00287070,0.01555825,0.00945025
0.01689935,0.00286194,0.01562406,0.00944412
0.01695635,0.00285302,0.01568984,0.00943771
0.01701332,0.00284391,0.01575559,0.00943102
0.01707027,0.00283463,0.01582131,0.00942406
0.01712718,0.00282517,0.01588701,0.00941681
0.01718406,0.00281554,0.01595267,0.00940929
0.01724092,0.00280573,0.01601830,0.00940149
0.01729774,0.00279574,0.01608389,0.00939341
0.01735454,0.00278558,0.01614945,0.00938505
0.01741130,0.00277525,0.01621498,0.00937642
0.01746803,0.00276474,0.01628047,0.00936751
0.01752472,0.00275406,0.01634592,0.00935832
0.01758139,0.00274320,0.01641133,0.00934886
0.01763802,0.00273217,0.01647670,0.00933912
0.01769461,0.00272097,0.01654203,0.00932911
0.01775118,0.00270960,0.01660731,0.00931883
0.01780770,0.00269806,0.01667256,0.00930827
0.01786420,0.00268634,0.01673775,0.00929743
0.01792065,0.00267446,0.01680290,0.00928633
0.01797707,0.00266240,0.01686801,0.00927495
0.01803346,0.00265017,0.01693307,0.00926329
0.01808980,0.00263778,0.01699807,0.00925137
0.01814611,0.00262521,0.01706303,0.00923918
0.01820239,0.00261248,0.01712794,0.00922671
0.01825862,0.00259958,0.01719279,0.00921398
0.01831481,0.00258651,0.01725759,0.00920097
0.01837097,0.00257328,0.01732233,0.00918770
0.01842709,0.00255988,0.01738702,0.00917416
0.01848316,0.00254631,0.01745166,0.00916036
0.01853920,0.00253258,0.01751623,0.00914629
0.01859519,0.00251868,0.01758075,0.00913195
0.01865115,0.00250461,0.01764521,0.00911735
